Type 2_first,Type 2_second,Legendary_first,Legendary_second,HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,Winner_mark
10,1,0,0,-20,-6,10,-15,10,-19,2
5,5,1,1,0,-39,-18,18,39,0,2
7,12,0,0,-20,-35,10,-45,10,0,2
12,12,0,0,-37,-80,-50,10,-50,-28,2
18,16,0,0,50,50,-105,105,-160,50,1
3,8,0,0,-10,-3,-100,7,-100,5,1
7,15,0,0,-25,0,10,-45,-50,-25,2
12,2,0,1,-80,-20,-70,-65,-85,-55,2
12,12,0,0,0,12,28,-23,-28,-29,2
7,12,0,0,5,-25,-10,5,-20,-5,2
7,12,0,0,10,10,-25,-40,-25,-25,2
5,12,1,0,53,99,5,17,25,78,1
12,10,0,0,-50,-90,-35,-60,-65,-30,2
18,15,0,0,-25,-15,15,15,-10,25,1
1,7,0,0,30,70,100,1,70,5,1
12,12,0,0,-27,-32,11,3,12,-21,2
11,12,0,1,40,0,5,-30,-5,-55,2
7,10,0,0,-55,-60,-20,-20,15,0,2
17,4,0,0,20,95,-62,90,-80,62,1
12,12,0,0,-21,45,0,1,-25,41,1
12,17,0,0,-1,-59,-32,21,6,-20,2
10,17,0,0,26,-8,-15,-35,-30,0,2
8,6,0,0,-5,-15,-40,-80,-5,-40,2
16,10,0,0,35,10,20,-100,-60,20,1
12,7,0,0,-10,-40,-10,-5,-10,-73,2
7,3,1,1,6,-60,10,-30,54,20,1
10,12,0,0,-25,-31,15,14,-5,-44,2
16,2,0,0,-4,-11,26,8,0,-26,2
12,12,0,0,-5,-20,16,-55,-9,40,1
17,12,0,0,-16,61,36,-35,-33,5,1
12,12,0,0,-3,65,-40,-35,-50,-42,2
7,7,0,0,-5,-50,-10,5,60,-40,2
12,7,0,0,-10,-15,-25,35,5,-100,2
7,7,0,0,5,25,47,65,32,36,1
12,0,0,0,-30,-50,-63,0,-25,38,2
10,1,0,0,11,-81,-82,-3,-38,-32,2
5,12,0,0,12,45,29,5,29,-12,2
12,15,0,0,-22,-20,20,-75,-30,2,1
4,1,0,0,33,-30,16,20,51,-45,2
12,12,0,0,10,-10,4,-30,4,-23,2
7,12,0,0,15,-10,15,-29,-5,-22,2
4,12,0,0,44,-11,15,12,35,12,1
15,12,0,0,-25,-43,-2,-55,-15,-50,1
14,17,0,0,-34,-11,-53,-41,-71,-20,2
12,12,0,0,4,-10,-10,5,-20,-29,2
12,18,0,0,-35,6,-26,-31,-14,40,1
14,13,0,0,-6,14,11,-9,34,-26,2
10,4,0,0,-20,64,85,30,60,36,1
16,12,0,0,-110,-55,170,-100,135,-60,2
11,5,0,0,-31,-10,-40,-67,-30,-68,2
17,12,0,0,-15,-33,81,-28,33,-53,2
5,8,1,0,46,40,50,4,50,70,2
12,12,1,0,-1,78,68,1,1,61,1
15,9,0,0,2,-40,-33,35,5,27,1
12,12,0,0,-30,25,-10,-60,-40,-20,2
12,12,0,0,-12,-36,-27,-20,-25,-6,2
12,6,0,0,20,5,-37,-35,-37,-16,2
12,12,0,0,-21,-95,-10,-13,-20,-38,2
7,5,0,0,7,18,-43,-14,25,17,1
7,12,0,0,-21,-10,-3,3,-12,23,1
7,12,0,0,-3,-52,2,-12,72,2,1
12,12,0,0,-13,29,-15,39,-40,5,1
12,12,0,0,49,79,30,7,20,7,1
14,10,0,0,-21,-2,12,-30,-6,27,1
12,10,0,0,-32,20,-15,-25,-15,16,1
12,12,0,0,7,-27,-31,38,35,53,1
1,12,0,0,50,100,55,75,30,45,1
7,12,0,0,-15,-30,5,-5,-30,15,1
12,5,0,1,-11,-47,10,11,10,-28,2
12,12,0,0,-9,-70,-16,15,-73,-21,2
16,12,0,0,-58,-74,152,-99,145,-95,2
12,12,0,0,-9,-16,-23,54,19,70,1
17,12,0,0,-26,-10,16,-86,11,-80,2
12,12,0,0,-11,13,-45,13,-45,-7,2
11,10,1,0,44,68,23,35,15,10,1
12,12,0,0,-90,30,34,5,34,10,1
12,11,0,0,-50,-15,-10,-25,-35,-40,2
12,14,1,0,-5,25,-53,3,-50,35,1
12,12,0,0,-54,-26,12,-1,12,37,1
12,15,0,1,25,45,10,-50,-30,-10,2
7,2,0,0,0,-50,-13,-65,-3,-85,2
7,1,0,0,0,-17,15,1,-5,-22,2
15,14,0,0,20,7,12,48,8,-10,2
12,11,0,0,-5,-35,-57,-40,-57,-41,2
15,10,0,0,-50,-52,-32,-35,-15,-21,2
12,8,0,0,8,-21,-67,-5,-50,60,2
12,7,0,1,-25,-27,-35,-78,-10,-5,2
7,12,0,0,-30,-78,-13,-38,57,-51,2
2,12,1,0,105,20,-35,55,-35,45,1
15,17,0,0,-3,-41,16,24,36,-32,2
17,12,0,0,-50,20,-40,-20,-90,-5,2
4,12,0,0,-16,-50,-10,-18,2,-5,2
17,7,0,0,-8,-11,44,56,21,-66,2
12,15,0,0,8,30,12,33,24,25,1
18,12,0,1,-65,-35,-15,0,-60,-50,2
12,5,0,1,-47,-71,-46,-14,-46,-47,2
17,12,0,1,-25,15,25,-30,-55,-45,2
12,9,0,0,-31,-45,-36,-12,-36,-31,2
12,7,0,0,-10,25,-25,25,-40,15,1
2,12,0,0,-5,10,20,57,40,83,1
4,9,0,0,-20,-23,10,-23,-20,16,1
12,7,0,0,-12,-14,8,-14,11,-55,2
3,12,0,0,5,-53,5,12,5,55,1
12,10,0,0,-37,-44,-33,-27,-31,-24,2
12,12,0,0,-15,-50,-55,-25,-15,0,2
12,17,0,0,50,65,-4,-35,11,70,1
12,12,0,0,-35,-50,-25,25,-55,40,1
7,12,0,0,-30,-45,-10,15,-5,5,1
12,6,0,0,-21,12,-17,-35,-10,10,1
12,12,1,0,-24,-29,-5,36,33,-1,2
12,17,0,0,10,-14,-40,11,-35,9,1
