,Winner_mark,HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,Generation_first_1,Generation_first_2,Generation_first_3,Generation_first_4,Generation_first_5,Generation_first_6,Generation_second_1,Generation_second_2,Generation_second_3,Generation_second_4,Generation_second_5,Generation_second_6,Legendary_first_0,Legendary_first_1,Legendary_second_0,Legendary_second_1
0,2,-20,-6,10,-15,10,-19,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,2,0,-39,-18,18,39,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
2,2,-20,-35,10,-45,10,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3,2,-37,-80,-50,10,-50,-28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
4,1,50,50,-105,105,-160,50,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
5,1,-10,-3,-100,7,-100,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
6,2,-25,0,10,-45,-50,-25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
7,2,-80,-20,-70,-65,-85,-55,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
8,2,0,12,28,-23,-28,-29,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
9,2,5,-25,-10,5,-20,-5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
10,2,10,10,-25,-40,-25,-25,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
11,1,53,99,5,17,25,78,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
12,2,-50,-90,-35,-60,-65,-30,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
13,1,-25,-15,15,15,-10,25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
14,1,30,70,100,1,70,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
15,2,-27,-32,11,3,12,-21,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
16,2,40,0,5,-30,-5,-55,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
17,2,-55,-60,-20,-20,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
18,1,20,95,-62,90,-80,62,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
19,1,-21,45,0,1,-25,41,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
20,2,-1,-59,-32,21,6,-20,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
21,2,26,-8,-15,-35,-30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
22,2,-5,-15,-40,-80,-5,-40,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
23,1,35,10,20,-100,-60,20,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
24,2,-10,-40,-10,-5,-10,-73,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
25,1,6,-60,10,-30,54,20,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26,2,-25,-31,15,14,-5,-44,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
27,2,-4,-11,26,8,0,-26,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
28,1,-5,-20,16,-55,-9,40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
29,1,-16,61,36,-35,-33,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
30,2,-3,65,-40,-35,-50,-42,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
31,2,-5,-50,-10,5,60,-40,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
32,2,-10,-15,-25,35,5,-100,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
33,1,5,25,47,65,32,36,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
34,2,-30,-50,-63,0,-25,38,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
35,2,11,-81,-82,-3,-38,-32,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
36,2,12,45,29,5,29,-12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
37,1,-22,-20,20,-75,-30,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
38,2,33,-30,16,20,51,-45,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
39,2,10,-10,4,-30,4,-23,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
40,2,15,-10,15,-29,-5,-22,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
41,1,44,-11,15,12,35,12,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
42,1,-25,-43,-2,-55,-15,-50,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
43,2,-34,-11,-53,-41,-71,-20,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
44,2,4,-10,-10,5,-20,-29,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
45,1,-35,6,-26,-31,-14,40,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
46,2,-6,14,11,-9,34,-26,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
47,1,-20,64,85,30,60,36,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
48,2,-110,-55,170,-100,135,-60,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
49,2,-31,-10,-40,-67,-30,-68,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
50,2,-15,-33,81,-28,33,-53,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
51,2,46,40,50,4,50,70,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
52,1,-1,78,68,1,1,61,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
53,1,2,-40,-33,35,5,27,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
54,2,-30,25,-10,-60,-40,-20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
55,2,-12,-36,-27,-20,-25,-6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
56,2,20,5,-37,-35,-37,-16,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
57,2,-21,-95,-10,-13,-20,-38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
58,1,7,18,-43,-14,25,17,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
59,1,-21,-10,-3,3,-12,23,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
60,1,-3,-52,2,-12,72,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
61,1,-13,29,-15,39,-40,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
62,1,49,79,30,7,20,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
