#_x,First_pokemon,Second_pokemon,Winner,Winner_mark,Type 1_first,Type 2_first,HP_first,Attack_first,Defense_first,Sp. Atk_first,Sp. Def_first,Speed_first,Generation_first,Legendary_first,#_y,Type 1_second,Type 2_second,HP_second,Attack_second,Defense_second,Sp. Atk_second,Sp. Def_second,Speed_second,Generation_second,Legendary_second
266,266,298,298,2,15,10,50,64,50,45,50,41,2,0,298,9,1,70,70,40,60,40,60,3,0
702,702,701,701,2,9,5,91,90,72,90,129,108,5,1,701,15,5,91,129,90,72,90,108,5,1
191,191,668,668,2,4,7,55,40,85,80,105,40,2,0,668,14,12,75,75,75,125,95,40,5,0
237,237,683,683,2,6,12,40,40,40,70,40,20,2,0,683,2,12,77,120,90,60,90,48,5,0
151,151,231,151,1,15,18,70,60,125,115,70,55,1,0,231,0,16,20,10,230,10,230,5,2,0
657,657,752,657,1,0,3,50,47,50,57,50,65,5,0,752,16,8,60,50,150,50,150,60,6,0
192,192,134,134,2,14,7,40,50,45,70,45,70,2,0,134,11,15,65,50,35,115,95,95,1,0
73,73,545,545,2,5,12,70,80,50,35,35,35,1,0,545,8,2,150,100,120,100,120,90,4,1
220,220,763,763,2,0,12,50,65,90,35,35,15,2,0,763,17,12,50,53,62,58,63,44,6,0
302,302,31,31,2,17,7,40,30,30,55,30,85,3,0,31,3,12,35,55,40,50,50,90,1,0
442,442,130,130,2,12,7,40,55,30,30,30,60,4,0,130,17,12,30,45,55,70,55,85,1,0
701,701,624,701,1,15,5,91,129,90,72,90,108,5,1,624,8,12,38,30,85,55,65,30,5,0
15,15,283,283,2,0,12,50,20,55,25,25,30,1,0,283,17,10,100,110,90,85,90,60,3,0
151,151,87,151,1,15,18,70,60,125,115,70,55,1,0,87,17,15,95,75,110,100,80,30,1,0
269,269,462,269,1,15,1,100,164,150,95,120,71,2,0,462,0,7,70,94,50,94,50,66,4,0
763,763,448,448,2,17,12,50,53,62,58,63,44,6,0,448,0,12,77,85,51,55,51,65,4,0
143,143,263,263,2,17,11,130,85,80,85,95,60,1,0,263,3,12,90,85,75,115,100,115,2,1
365,365,240,240,2,12,7,45,40,60,40,75,50,3,0,240,11,10,100,100,80,60,60,50,2,0
499,499,774,499,1,5,17,70,145,88,140,70,112,4,0,774,15,4,50,50,150,50,150,50,6,0
563,563,578,563,1,17,12,95,100,85,108,70,70,5,0,578,14,12,116,55,85,107,95,29,5,0
440,440,687,687,2,17,12,64,66,68,81,76,50,4,0,687,1,17,65,125,100,60,70,70,5,0
373,373,441,441,2,17,10,110,78,73,76,71,60,3,0,441,17,17,84,86,88,111,101,60,4,0
654,654,671,671,2,17,8,55,40,50,65,85,40,5,0,671,8,6,60,55,90,145,90,80,5,0
121,121,355,121,1,10,16,105,130,120,45,45,40,1,0,355,6,10,70,120,100,145,105,20,3,0
609,609,649,649,2,9,12,45,35,50,70,50,30,5,0,649,3,7,55,75,60,75,60,103,5,0
270,270,708,270,1,14,7,106,90,130,90,154,110,2,1,708,2,3,100,150,120,120,100,90,5,1
460,460,568,568,2,0,10,60,79,105,59,85,36,4,0,568,12,12,85,110,90,45,90,80,5,0
626,626,767,767,2,17,16,54,78,103,53,45,22,5,0,767,15,2,58,89,77,45,45,48,6,0
139,139,451,139,1,12,12,75,100,95,40,70,110,1,0,451,3,12,80,120,79,95,79,70,4,0
694,694,747,694,1,0,17,58,109,112,48,48,109,5,0,747,14,12,74,48,76,83,81,104,6,0
455,455,549,549,2,15,12,97,165,60,65,50,58,4,0,549,17,12,100,100,100,100,100,100,4,0
181,181,301,301,2,0,7,55,35,50,55,110,85,2,0,301,12,7,60,85,60,50,50,125,3,0
208,208,184,184,2,9,12,75,75,55,105,85,30,2,0,184,13,7,85,90,80,70,80,130,2,0
536,536,365,536,1,3,7,50,65,107,105,107,86,4,0,365,12,7,45,40,60,40,75,50,3,0
260,260,381,381,2,6,12,45,75,37,70,55,83,2,0,381,15,0,75,125,100,70,80,45,3,0
471,471,269,269,2,17,10,111,83,68,92,82,39,4,0,269,15,1,100,164,150,95,120,71,2,0
621,621,287,287,2,1,5,50,75,70,35,70,48,5,0,287,12,12,38,30,41,30,41,60,3,0
406,406,134,406,1,17,12,43,30,55,40,65,97,3,0,134,11,15,65,50,35,115,95,95,1,0
